Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
"PERSONAL CLOTHING, GEAR AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,10/4/2014,-999,None,-999,-999,-999,446790.09,134037.03,-70.00%,641,19926.83811
USCG ISLAND CLASS PATROL BOAT (WPB),USCG ISLAND CLASS PATROL BOAT (WPB),Grant Authority,1/1/2015,Navy,Vietnam,EDA Rejected,10/6/2014,2,2,0,0,0,14000000,1400000,-90.00%,87,534800
WPB OUTFIT AND EQUIPMENT,WPB OUTFIT AND EQUIPMENT,Grant Authority,1/1/2015,Navy,Vietnam,EDA Rejected,10/6/2014,2,2,0,0,0,426200,42620,-90.00%,87,16280.84
CONTINUOUS WAVE ACQUISITION RADAR,CONTINUOUS WAVE ACQUISITION RADAR,Grant Authority,1/1/2012,Army,Egypt,EDA Delivered,10/10/2014,4,4,3,0,3,6222480,311124,-95.00%,1013,227742.768
ELECTRICAL / ELECTRONIC EQUIPMENT AND COMPONENTS,ELECTRICAL AND ELECTRONIC EQUIPMENT AND COMPONENTS,Grant Authority,1/1/2015,Defense Logistics Agency (DLA),Israel,EDA Delivered,10/14/2014,0,0,0,0,0,184035,55211,-70.00%,79,8207.977
FOOD PREPARATION AND SERVING EQUIPMENT,FOOD PREPARATION AND SERVING EQUIPMENT,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Malawi,EDA Delivered,10/14/2014,0,0,0,0,0,400000,200000,-50.00%,651,20400
"LAUNCHER, GUIDED MISSILE","LAUNCHER, GUIDED MISSILE, CARRIER",Grant Authority,1/1/2012,Army,Egypt,EDA Delivered,10/14/2014,13,13,13,0,13,5291598,264579.9,-95.00%,1017,193672.4868
MEDICAL/DENTAL/VETERINARY EQUIP/SUPPLIES,MEDICAL/DENTAL/VETERINARY EQUIP/SUPPLIES,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Malawi,EDA Delivered,10/15/2014,0,0,0,0,0,400000,200000,-50.00%,652,20400
"CARTRIDGE, 5.56MM TRACER, M196","CARTRIDGE, 5.56 MM TRACER M196",Grant Authority,1/1/2014,Army,Yemen,EDA Cancelled,10/15/2014,101669,101669,0,0,0,29484.01,8845.2,-70.00%,287,1314.98675
"AMMUNITION, CARTRIDGE, 7.62MM BALL, M80","AMMUNITION, CARTRIDGE, 7.62MM BALL, M80",Grant Authority,1/1/2014,Army,Yemen,EDA Cancelled,10/15/2014,201000,201000,0,0,0,158790,47637,-70.00%,287,7082.034
"SH-2G HELICOPTER, MARITIME","SH-2G HELICOPTER, MARITIME",Grant Authority,1/1/2011,Navy,Ecuador,EDA Cancelled,10/16/2014,3,3,0,0,0,49908000,2495400,-95.00%,1384,1826632.8
CAIMAN CAT I PLUS MRAPS,CAIMAN CAT I PLUS MRAPS,Grant Authority,1/1/2014,Army,Lebanon,EDA Cancelled,10/16/2014,50,50,0,0,0,24750000,2475000,-90.00%,288,945450
HAND AND MEASURING TOOLS,HAND AND MEASURING TOOLS,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Malawi,EDA Delivered,10/20/2014,0,0,0,0,0,400000,200000,-50.00%,657,20400
"ADP EQUIP, SOFTWARE, SUPPLIER AND SE","ADP EQUIP/SOFTWARE, SUPPLIES AND SUPPORT EQUIP",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Moldova,EDA Delivered,10/21/2014,-999,None,-999,-999,-999,111697.52,33509.26,-70.00%,658,4981.70952
UNCLASS SPARE PARTS FOR NATINADS-RADAR/AIRDEFENSE,UNCLASS SPARE PARTS FOR NATINADS-RADAR/AIRDEFENSE,Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Iceland,EDA Delivered,10/24/2014,0,0,0,0,0,956056,54098,-94.34%,1027,35193.096
M106A2 MORTAR CARRIER,M106A2 MORTAR CARRIER,Grant Authority,1/1/2011,Army,Greece,EDA Delivered,10/27/2014,1,1,1,0,1,205400,41080,-80.00%,1395,8503.56
M105A3 TRAILER,M105A3 TRAILER,Grant Authority,1/1/2011,Army,Greece,EDA Delivered,10/27/2014,14,14,14,0,14,143430,7171.5,-95.00%,1395,5249.538
M105A2 TRAILER,M105A2 TRAILER,Grant Authority,1/1/2011,Army,Greece,EDA Delivered,10/27/2014,104,104,28,0,28,886496,44324.8,-95.00%,1395,32445.7536
"MRAP, COUGAR CAT I A1 WITH ISS","MRAP, COUGAR CAT I A1 WITH ISS",Grant Authority,1/1/2014,Navy,Uganda,EDA Accepted/LOA Implemented,11/3/2014,15,15,15,0,0,10581315,2116263,-80.00%,306,438066.441
HMMWV EGRESS ASSISTANCE TRAINER (HEAT),HMMWV EGRESS ASSISTANCE TRAINER (HEAT),Grant Authority,1/1/2014,Army,Israel,EDA Delivered,11/7/2014,2,2,2,0,2,300000,30000,-90.00%,310,11460
"TRUCK UTILITY, 4X4 S250 W/O WINCH","TRUCK UTILITY, 4X4 S250 W/O WINCH",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/7/2014,6,6,-999,0,1,221592,22159.2,-90.00%,1041,8464.8144
M-ATV w/UIK [MRAP],M-ATV w/UIK [MRAP],FMS Sales,1/1/2014,Army,United Arab Emirates,Service Authorized to Supply EDA,11/7/2014,19,19,0,0,0,10925000,4370000,-60.00%,310,522215
M-ATV w/UIK [MRAP],M-ATV w/UIK [MRAP],FMS Sales,1/1/2014,Army,United Arab Emirates,Service Authorized to Supply EDA,11/7/2014,25,25,0,0,0,14375000,4312500,-70.00%,310,641125
"RIFLE, 5.65 MM (CC=B6)","RIFLE, 5.65 MM (CC=B6)",Grant Authority,1/1/2013,Army,Israel,EDA Delivered,11/7/2014,528,528,528,0,528,63360,6336,-90.00%,675,2420.352
"RIFLE, 5.65 MM (CC=E7)","RIFLE, 5.65 MM (CC=E7)",Grant Authority,1/1/2013,Army,Israel,EDA Delivered,11/7/2014,4696,4696,4696,0,4696,563520,112704,-80.00%,675,23329.728
SIGNAL SMOKE & ILLUM MK13,SIGNAL SMOKE & ILLUM MK13,Grant Authority,1/1/2013,Army,Greece,EDA Delivered,11/7/2014,5500,5500,5500,0,5500,58025,17407.5,-70.00%,675,2587.915
"RIFLE, 5.65 MM (CC=A3)","RIFLE, 5.65 MM (CC=A3)",Grant Authority,1/1/2013,Army,Israel,EDA Delivered,11/7/2014,16503,16503,16503,0,16503,16503,198036,1100.00%,675,6914.757
VEHICULAR PARTS & COMPONENTS,VEHICULAR PARTS & COMPONENTS,Grant Authority,1/1/2015,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/10/2014,0,0,0,0,0,3220612,966184,-70.00%,52,143639.308
"Fire Control Equipment, Parts and Components","Fire Control Equipment, Parts and Components",Grant Authority,1/1/2015,Defense Logistics Agency (DLA),Morocco,EDA Delivered,11/12/2014,0,0,0,0,0,580600.97,116120.19,-80.00%,50,24036.88003
"ENGINES, TURBINES, COMPONENTS/ACCESSORIES","ENGINES, TURBINES, PARTS, COMPONENTS & ACCESSORIES",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/12/2014,-999,None,-999,-999,-999,1022788.18,306836.46,-70.00%,680,45616.35302
SAFETY AND RESCUE EQUIPMENT,RESCUE AND SAFETY EQUIPMENT,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Burkina Faso,EDA Delivered,11/17/2014,0,0,0,0,0,857142.86,428571.43,-50.00%,685,43714.28586
RIFLE,RIFLE,Grant Authority,1/1/2014,Army,Jordan,EDA Delivered,11/19/2014,20000,20000,20000,0,20000,14980000,1498000,-90.00%,322,572236
INSTRUMENTS/LABORATORY/PHOTOGRAPHIC/TRAINING EQUIP,INSTRUMENTS/LABORATORY/PHOTOGRAPHIC/TRAINING EQUIP,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Israel,EDA Delivered,11/19/2014,-999,None,-999,-999,-999,3750223.34,1125067,-70.00%,687,167259.9609
"TRUCK UTILITY, HMMWV, M1038","TRUCK UTILITY, HMMWV, M1038",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,34461,10338.3,-70.00%,323,1536.9606
"TRUCK, VAN","TRUCK, VAN",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,98341,29502.3,-70.00%,323,4386.0086
"TRAILER, TANK WATER M149A2","TRAILER, TANK WATER M149A2",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,12955,2591,-80.00%,323,536.337
"TRUCK, CARGO, 5T, D/S","TRUCK, CARGO, 5T, D/S",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,67139,33569.5,-50.00%,323,3424.089
TRUCK CARGO 5T XLWB M927,TRUCK CARGO 5T XLWB M927,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,83430,16686,-80.00%,323,3454.002
TRUCK TANK FUEL 6000 GAL,TRUCK TANK FUEL 6000 GAL,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,1,1,1,0,0,94125,47062.5,-50.00%,323,4800.375
TRUCK CARGO DPSD 5T M925A1,TRUCK CARGO DPSD 5T M925A1,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,11/20/2014,1,1,1,0,1,75278,22583.4,-70.00%,323,3357.3988
"TRUCK UTILITY, HMMWV, M1038","TRUCK UTILITY, HMMWV, M1038",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,2,2,2,0,0,68922,13784.4,-80.00%,323,2853.3708
SEMI-TRAILER TANK FUEL 5500 GAL,SEMI-TRAILER TANK FUEL 5000 GAL,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,2,2,2,0,0,126896,63448,-50.00%,323,6471.696
"TRAILER, TANK",TRAILER TANK,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,2,2,2,0,0,18108,9054,-50.00%,323,923.508
"TRUCK, CARGO, 5T, D/S","TRUCK, CARGO, 5T, D/S",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,2,2,2,0,0,134278,13427.8,-90.00%,323,5129.4196
"TRUCK, CARGO","TRUCK,CARGO",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,2,2,2,0,0,148900,44670,-70.00%,323,6640.94
USCG ISLAND CLASS PATROL BOAT (WPB),USCG ISLAND CLASS PATROL BOAT (WPB),Grant Authority,1/1/2015,Navy,Trinidad and Tobago,EDA Cancelled,11/20/2014,2,2,0,0,0,14000000,1400000,-90.00%,42,534800
WPB OUTFIT AND EQUIPMENT,WPB OUTFIT AND EQUIPMENT,Grant Authority,1/1/2015,Navy,Trinidad and Tobago,EDA Cancelled,11/20/2014,2,2,0,0,0,426200,42620,-90.00%,42,16280.84
TRUCK VAN EXP 5TON M934A1,TRUCK VAN EXP 5TON M934A1,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Delivered,11/20/2014,2,2,2,0,3,291400,58280,-80.00%,323,12063.96
"TRUCK UTILITY, HMMWV, M966","TRUCK UTILITY, HMMWV, M966",Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Morocco,EDA Accepted/LOA Implemented,11/20/2014,4,4,4,0,0,188276,37655.2,-80.00%,323,7794.6264
MATERIALS HANDLING EQUIPMENT,Materials Handling Equipment,Grant Authority,1/1/2015,Defense Logistics Agency (DLA),Djibouti,EDA Delivered,11/20/2014,-999,None,-999,-999,-999,66000,33000,-50.00%,42,3366
MACHINE GUN,MACHINE GUN,Grant Authority,1/1/2014,Army,Jordan,EDA Delivered,11/21/2014,9184,9184,9184,0,6746,50273216,5027321.6,-90.00%,324,1920436.851
"TEXTILES, LEATHER, APPAREL AND TENTS","TEXTILES, LEATHER, APPAREL AND TENTS",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Uganda,EDA Delivered,11/23/2014,0,0,0,0,0,216621.31,64986.39,-70.00%,1057,9661.31033
"MRAP, RG-33L CAT II","MRAP, RG-33L CAT II",Grant Authority,1/1/2014,Navy,Jordan,EDA Accepted/LOA Implemented,11/25/2014,200,200,200,0,0,135768856,27153772,-80.00%,328,5620830.664
M1059 CARRIER SMOKE GENERATOR,M1059 CARRIER SMOKE GENERATOR,Grant Authority,1/1/2012,Army,Greece,EDA Delivered,11/30/2014,59,59,-999,0,23,15045000,1504500,-90.00%,1064,574719
"CARRIER, ANTI-TANK","CARRIER, ANTITANK",Grant Authority,1/1/2011,Army,Greece,EDA Delivered,11/30/2014,110,110,72,0,47,43236820,8647364,-80.00%,1429,1790004.348
TRACKED COMMAND POST CARRIER,TRACKED COMMAND POST CARRIER,Grant Authority,1/1/2011,Army,Greece,EDA Delivered,11/30/2014,145,145,145,0,131,46860810,9372162,-80.00%,1429,1940037.534
"OUTFITTING AND EQUIPMENT, MK V SOCS","OUTFITTING AND EQUIPMENT, MK V SOCS",Grant Authority,1/1/2014,Navy,Malaysia,Service Authorized to Supply EDA,12/1/2014,0,0,0,0,0,13000000,1300000,-90.00%,334,496600
ARMORED PERSONNEL CARRIER TRACK,ARMORED PERSONNEL CARRIER TRACK,Grant Authority,1/1/2011,Army,Greece,EDA Delivered,12/1/2014,176,176,-999,0,174,43029184,8605836.8,-80.00%,1430,1781408.218
"TRUCK, CARGO, DPSD, 5T","TRUCK, CARGO, DPSD, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,12/10/2014,1,1,1,0,1,85946,17189.2,-80.00%,1439,3558.1644
MEDICAL/DENTAL/VETERINARY EQUIP/SUPPLIES,MEDICAL/DENTAL/VETERINARY EQUIP/SUPPLIES,Grant Authority,1/1/2014,Defense Logistics Agency (DLA),Sierra Leone,EDA Delivered,12/11/2014,0,0,0,0,0,352941.17,176470.59,-50.00%,344,17999.99983
"CARTRIDGE, 5.56 MM TRACER M196","CARTRIDGE, 5.56 MM TRACER M196",Grant Authority,1/1/2012,Army,Israel,EDA Delivered,12/11/2014,10000000,10000000,-999,0,20002080,2400000,720000,-70.00%,1075,107040
MED/DENTAL/LAB/FOOD PREP EQUIP AND SUPPLIES,MED/DENTAL/LAB/FOOD PREP EQUIP AND SUPPLIES,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Burkina Faso,EDA Delivered,12/12/2014,0,0,0,0,0,857142.86,428571.43,-50.00%,710,43714.28586
"TRUCK, CARGO, DPSD, 5T","TRUCK, CARGO, DPSD, 5T",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,12/15/2014,2,2,-999,0,2,148900,59560,-60.00%,1444,7117.42
"M1000, TANK TRANSPORTER, SEMI-TRAILER","M1000, TANK TRANSPORTER, SEMI-TRAILER",Grant Authority,1/1/2014,Army,Morocco,EDA Delivered,12/17/2014,40,40,40,0,40,9168760,916876,-90.00%,350,350246.632
"TRUCK, FIRE FIGHTING","TRUCK, FIRE FIGHTING",Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,12/18/2014,2,2,2,0,2,1328508,132850.8,-90.00%,716,50749.0056
"TRUCK, CARGO, DPSD, 5T","TRUCK, CARGO, DPSD, 5T",Grant Authority,1/1/2012,Defense Logistics Agency (DLA),Lebanon,EDA Delivered,12/18/2014,4,4,-999,0,3,297800,148900,-50.00%,1082,15187.8
"TRUCK, TRACTOR","TRUCK, TRACTOR",Grant Authority,1/1/2011,Defense Logistics Agency (DLA),Morocco,EDA Delivered,12/18/2014,4,4,-999,0,2,297152,89145.6,-70.00%,1447,13252.9792
"GRENADE, HAND SMK GRN M18","GRENADE, HAND SMK GRN M18",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/18/2014,3901,3901,14,0,14,230783.16,69234.95,-70.00%,351,10292.929
"M977 TRUCK, CARGO, WITH WINCH (HEMTT)","M977 TRUCK, CARGO, WITH WINCH (HEMTT)",Grant Authority,1/1/2014,Army,Israel,Service Authorized to Supply EDA,12/19/2014,20,20,0,0,0,6578400,657840,-90.00%,352,251294.88
"M977 TRUCK, CARGO, WITHOUT WINCH (HEMTT)","M977 TRUCK, CARGO, WITH WINCH (HEMTT)",Grant Authority,1/1/2014,Army,Israel,Service Authorized to Supply EDA,12/19/2014,30,30,0,0,0,9507600,950760,-90.00%,352,363190.32
"M978P1 TRUCK, TANK, FUEL, WITH ARMORED CAB (HEMTT)","M978P1 TRUCK, TANK, FUEL, WITH ARMORED CAB (HEMTT)",Grant Authority,1/1/2014,Army,Israel,Service Authorized to Supply EDA,12/19/2014,100,100,0,0,0,38413000,3841300,-90.00%,352,1467376.6
"CAP, BLAST ELEC SPEC/M6","CAP, BLAST ELEC SPEC/M6",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,20,20,20,0,20,716.6,214.98,-70.00%,355,31.96036
"PROJ, 155MM HERA M549","PROJ, 155MM HERA M549",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,36,36,36,0,36,92856.96,27857.09,-70.00%,355,4141.42048
"SIGNAL, SMK YLW M169","SIGNAL, SMK YLW M169",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,539,539,539,0,15,835.45,250.64,-70.00%,355,37.26123
"Cap Blast, Elect INERT","Cap Blast, Elect INERT",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,813,813,813,0,813,4560.93,1368.28,-70.00%,355,203.41751
"SIGNAL, SMK GRN PARA M128A1","SIGNAL, SMK GRN PARA M128A1",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,936,936,936,0,923,37627.2,11288.16,-70.00%,355,1678.17312
"Simulator, APERS, Mine","Simulator, APERS, Mine",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,1200,1200,1200,0,1200,636,190.8,-70.00%,355,28.3656
"CHG, DEMO SHAPE M221","CHG, DEMO SHAPE M221",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,3024,3024,3024,0,3024,9072,2721.6,-70.00%,355,404.6112
"CHG, DEMO BLOCK 1 LB THT","CHG, DEMO BLOCK 1 LB THT",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,20000,20000,20000,0,20000,124400,37320,-70.00%,355,5548.24
"CHG, DEMO BLOCK TNT","CHG, DEMO BLOCK TNT",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,12/22/2014,80064,80064,80064,0,80064,140112,42033.6,-70.00%,355,6248.9952
RECOVERY VEHICLES,RECOVERY VEHICLES,Grant Authority,1/1/2012,Army,Morocco,EDA Delivered,12/24/2014,165,165,128,0,216,199774575,19977457.5,-90.00%,1088,7631388.765
C-130E AIRCRAFT,C-130E AIRCRAFT,Grant Authority,1/1/2014,Air Force,Ethiopia,EDA Delivered,12/29/2014,1,1,1,0,1,18000000,3620504,-79.89%,362,745856.128
MRAP MAXXPRO PLUS CAT I,MRAP MAXXPRO PLUS CAT I,Grant Authority,1/1/2013,Navy,Uzbekistan,EDA Delivered,1/5/2015,50,50,50,0,46,29371975,5874395,-80.00%,734,1215999.765
"CARTRIDGE, 50 CAL 4 API","CARTRIDGE, 50 CAL 4 API",Grant Authority,1/1/2014,Army,Israel,EDA Delivered,1/5/2015,807016,807016,508174,0,91295,1701189.73,510356.92,-70.00%,369,75873.06199
"CHG, DEMO SHAPED COMP H-6 MK47-0","CHG, DEMO SHAPED COMP H-6 MK47-0",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,100,100,100,0,100,16700,5010,-70.00%,370,744.82
"IGNITER, TIME BLAST FUSE SHOCKTUBE M81","IGNITER, TIME BLAST FUSE SHOCKTUBE M81",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,100,100,100,0,100,500,150,-70.00%,370,22.3
"CTG, 60MM HE M888","CTG, 60MM HE M888",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,208,208,208,0,208,64247.04,19274.11,-70.00%,370,2865.41792
CHARGE DEMOLITION PRACTICE,CHARGE DEMOLITION PRACTICE,Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,372,372,372,0,372,31992,9597.6,-70.00%,370,1426.8432
"GRENADE, HAND FRAG M67","GRENADE, HAND FRAG M67",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,415,415,415,0,415,11607.55,3482.27,-70.00%,370,517.69689
"SIMULATOR, EXPL BOOBY TRAP ILLUM M118","SIMULATOR, EXPL BOOBY TRAP ILLUM M118",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,575,575,575,0,358,7716.5,2314.95,-70.00%,370,344.1559
"SIGNAL, SMK RED M168","SIGNAL, SMK RED M168",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,701,701,701,0,701,1016.45,304.94,-70.00%,370,45.33383
"CAP, BLAST ELEC NO 11 DELAY","CAP, BLAST ELEC NO 11 DELAY",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1000,1000,1000,0,1000,500,150,-70.00%,370,22.3
"CAP, BLAST ELEC NO 13 DELAY","CAP, BLAST ELEC NO 13 DELAY",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1000,1000,1000,0,1000,500,150,-70.00%,370,22.3
"CAP, BLAST ELEC NO 14 DELAY","CAP, BLAST ELEC NO 14 DELAY",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1000,1000,1000,0,1000,500,150,-70.00%,370,22.3
"CAP, BLAST ELEC NO 15 DELAY","CAP, BLAST ELEC NO 15 DELAY",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1000,1000,1000,0,1000,500,150,-70.00%,370,22.3
"CAP, BLAST, INERT, XM11","CAP, BLAST, INERT, XM11",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1000,1000,1000,0,1000,6570,1971,-70.00%,370,293.022
"GRENADE, HAND SMK RED M18","GRENADE, HAND SMK GRN M18",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,1504,1504,1504,0,1499,126441.28,37932.38,-70.00%,370,5639.28096
"DETONATOR, NON-ELEC DUAL MK154-0","DETONATOR, NON-ELEC DUAL MK154-0",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,2680,2680,2680,0,2680,174200,52260,-70.00%,370,7769.32
"GRENADE, HAND SMK VIO M18","GRENADE, HAND SMK VIO M18",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,3584,3584,3584,0,3412,228336.64,68500.99,-70.00%,370,10183.81408
"SIGNAL, ILLUM RED STAR MK80-0/2","SIGNAL, ILLUM RED STAR MK80-0/2",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,5005,5005,5005,0,5005,7657.65,2297.3,-70.00%,370,341.53135
"CORD, DET TY 1 CL E W/PETN","CORD, DET TY 1 CL E W/PETN",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/6/2015,6000,6000,6000,0,6000,1860,558,-70.00%,370,82.956
FACILITIES SUPPORT EQUIPMENT,FACILITIES SUPPORT EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Moldova,EDA Delivered,1/7/2015,-999,None,-999,-999,-999,105867.16,52933.58,-50.00%,1832,5399.22516
CLOTHING AND INDIVIDUAL EQUIPMENT,CLOTHING AND INDIVIDUAL EQUIPMENT,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Malawi,EDA Delivered,1/8/2015,0,0,0,0,0,400000,200000,-50.00%,737,20400
"CAP, BLAST ELEC NO 5 DELAY","CAP, BLAST ELEC NO 5 DELAY",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/8/2015,96,96,96,0,96,65.28,19.58,-70.01%,372,2.91136
"GRENADE, HAND SMK YLW M18","GRENADE, HAND SMK YLW M18",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/8/2015,343,343,343,0,343,20212.99,6063.9,-70.00%,372,901.49945
"Gren, Hand TRAINING, MK1A1","Gren, Hand TRAINING, MK1A1",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/8/2015,754,754,754,0,710,248.82,74.65,-70.00%,372,11.0975
"FZ, Blast, Time, INERT","FZ, Blast, Time, INERT",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/8/2015,8000,8000,8000,0,8000,1200,360,-70.00%,372,53.52
"CTG, CAL .50 4 API M8/1 API-T M20 MG","CTG, CAL .50 4 API M8/1 API-T M20 MG",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/8/2015,10880,10880,10880,0,10880,15776,4732.8,-70.00%,372,703.6096
"SIGNAL, ILLUM GRN STAR PARA M19A2","SIGNAL, ILLUM GRN STAR PARA M19A2",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/13/2015,175,175,175,0,175,5794.25,1738.28,-70.00%,377,258.42371
"RCKT, 66MM HEAT M72A1","RCKT, 66MM HEAT M72A1",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/13/2015,227,227,227,0,227,24516,7354.8,-70.00%,377,1093.4136
"SIGNAL, SMK RED PARA M129A1","SIGNAL, SMK RED PARA M129A1",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/13/2015,2232,2232,2232,0,2244,89726.4,26917.92,-70.00%,377,4001.79744
"RIFLE, 5.56MM M16A2","RIFLE, 5.56MM, M16A2",Grant Authority,1/1/2013,Army,Israel,EDA Delivered,1/13/2015,19940,19940,19940,0,19940,14935060,1493506,-90.00%,742,570519.292
"CTG, CAL .50 4 BALL M33/1 TR M17 MG","CTG, CAL .50 4 BALL M33/1 TR M17 MG",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/13/2015,30214,30214,30214,0,30214,42601.74,12780.52,-70.00%,377,1900.03754
"CTG, 7.62MM BLANK M82 LNKD","CTG, 7.62MM BLANK M82 LNKD",Grant Authority,1/1/2014,Army,Lebanon,EDA Delivered,1/13/2015,100737,100737,100737,0,94137,38108.81,11432.64,-70.00%,377,1699.65283
"CARTRIDGE, 5.56MM BALL","CARTRIDGE, 5.56MM BALL",Grant Authority,1/1/2014,Army,Israel,EDA Delivered,1/13/2015,7169600,7169600,7169600,0,7169600,2867840,860352,-70.00%,377,127905.664
TRAILER,TRAILER,Grant Authority,1/1/2013,Defense Logistics Agency (DLA),Honduras,EDA Delivered,1/14/2015,1,1,1,0,1,1599,159.9,-90.00%,743,61.0818
"HOWITZER, SELF-PROPELLED (MEDIUM)","HOWITZER, SELF-PROPELLED (MEDIUM)",Grant Authority,1/1/2013,Army,Brazil,EDA Delivered,1/15/2015,4,4,4,0,4,3693144,369314.4,-90.00%,744,141078.1008
